External ID,BTG Node Id,Is Leaf,Is Parent,Name,Parent Id/BTG Node Id,Parent Id/Is Leaf,Parent Id/Is Parent,Parent Id/Name,Root Parent Id/BTG Node Id,Root Parent Id/Is Leaf,Root Parent Id/Is Parent,Root Parent Id/Name
".""__export__..amazon_category_2"".",,False,True,AutoAccessory,,,,,,,,
".""__export__..amazon_category_3"".",,False,True,Beauty,,,,,,,,
".""__export__..amazon_category_4"".",,False,True,Books,,,,,,,,
".""__export__..amazon_category_5"".",,False,True,CameraPhoto,,,,,,,,
".""__export__..amazon_category_6"".",,False,True,CE,,,,,,,,
".""__export__..amazon_category_7"".",,False,True,ClothingAccessories,,,,,,,,
".""__export__..amazon_category_8"".",,False,True,Computers,,,,,,,,
".""__export__..amazon_category_9"".",,False,True,FoodAndBeverages,,,,,,,,
".""__export__..amazon_category_10"".",,False,True,GiftCard,,,,,,,,
".""__export__..amazon_category_11"".",,False,True,Health,,,,,,,,
".""__export__..amazon_category_12"".",,False,True,Home,,,,,,,,
".""__export__..amazon_category_13"".",,False,True,Jewelry,,,,,,,,
".""__export__..amazon_category_14"".",,False,True,Music,,,,,,,,
".""__export__..amazon_category_15"".",,False,True,MusicalInstruments,,,,,,,,
".""__export__..amazon_category_16"".",,False,True,Office,,,,,,,,
".""__export__..amazon_category_17"".",,False,True,Outdoors,,,,,,,,
".""__export__..amazon_category_18"".",,False,True,PetSupplies,,,,,,,,
".""__export__..amazon_category_19"".",,False,True,Shoes,,,,,,,,
".""__export__..amazon_category_20"".",,False,True,Sports,,,,,,,,
".""__export__..amazon_category_21"".",,False,True,SoftwareVideoGames,,,,,,,,
".""__export__..amazon_category_22"".",,False,True,TiresAndWheels,,,,,,,,
".""__export__..amazon_category_23"".",,False,True,Tools,,,,,,,,
".""__export__..amazon_category_24"".",,False,True,Toys,,,,,,,,
".""__export__..amazon_category_25"".",,False,True,ToysBaby,,,,,,,,
".""__export__..amazon_category_26"".",,False,True,Video,,,,,,,,
".""__export__..amazon_category_27"".",,False,True,Wireless,,,,,,,,
".""__export__..amazon_category_28"".",,False,False,AutoAccessoryMisc,AutoAccessory,False,True,AutoAccessory,,,,
".""__export__..amazon_category_29"".",,False,False,AutoPart,AutoAccessory,False,True,AutoAccessory,,,,
".""__export__..amazon_category_30"".",,False,False,PowersportsPart,AutoAccessory,False,True,AutoAccessory,,,,
".""__export__..amazon_category_31"".",,False,False,PowersportsVehicle,AutoAccessory,False,True,AutoAccessory,,,,
".""__export__..amazon_category_32"".",,False,False,ProtectiveGear,AutoAccessory,False,True,AutoAccessory,,,,
".""__export__..amazon_category_33"".",,False,False,Helmet,AutoAccessory,False,True,AutoAccessory,,,,
".""__export__..amazon_category_34"".",,False,False,RidingApparel,AutoAccessory,False,True,AutoAccessory,,,,
".""__export__..amazon_category_35"".",,False,False,BeautyMisc,Beauty,False,True,Beauty,,,,
".""__export__..amazon_category_36"".",,False,False,BooksMisc,Books,False,True,Books,,,,
".""__export__..amazon_category_37"".",,False,False, Camcorder,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_38"".",,False,False,FilmCamera,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_39"".",,False,False,DigitalCamera,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_40"".",,False,False,DigitalFrame,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_41"".",,False,False,Binocular,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_42"".",,False,False,SurveillanceSystem,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_43"".",,False,False,Telescope,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_44"".",,False,False,Microscope,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_45"".",,False,False,Darkroom,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_46"".",,False,False,LensAccessory,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_47"".",,False,False,Filter,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_48"".",,False,False,Film,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_49"".",,False,False,BagCase,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_50"".",,False,False,BlankMedia,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_51"".",,False,False,PhotoPaper,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_52"".",,False,False,Cleaner,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_53"".",,False,False,Flash,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_54"".",,False,False,TripodStand,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_55"".",,False,False,Projection,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_56"".",,False,False,PhotoStudio,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_57"".",,False,False,LightMeter,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_58"".",,False,False,PowerSupply,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_59"".",,False,False,OtherAccessory,CameraPhoto,False,True,CameraPhoto,,,,
".""__export__..amazon_category_60"".",,False,False,Antenna,CE,False,True,CE,,,,
".""__export__..amazon_category_61"".",,False,False,AudioVideoAccessory,CE,False,True,CE,,,,
".""__export__..amazon_category_62"".",,False,False,AVFurniture,CE,False,True,CE,,,,
".""__export__..amazon_category_63"".",,False,False,BarCodeReader,CE,False,True,CE,,,,
".""__export__..amazon_category_64"".",,False,False,CEBinocular,CE,False,True,CE,,,,
".""__export__..amazon_category_65"".",,False,False,CECamcorder,CE,False,True,CE,,,,
".""__export__..amazon_category_66"".",,False,False,CameraBagsAndCases,CE,False,True,CE,,,,
".""__export__..amazon_category_67"".",,False,False,CEBattery,CE,False,True,CE,,,,
".""__export__..amazon_category_68"".",,False,False,CEBlankMedia,CE,False,True,CE,,,,
".""__export__..amazon_category_69"".",,False,False,CableOrAdapter,CE,False,True,CE,,,,
".""__export__..amazon_category_70"".",,False,False,CECameraFlash,CE,False,True,CE,,,,
".""__export__..amazon_category_71"".",,False,False,CameraLenses,CE,False,True,CE,,,,
