id,categ_type_ids/node,categ_type_ids/refine_name,categ_type_ids/concat,categ_type_ids/code_type
__export__.product_attribute_set_115_1,1389376031,Channels,AV Receivers & Amplifiers,output_channel_quantity
,1389376031,Wattage,AV Receivers & Amplifiers,wattage
,1375444031,Connectivity,All-In-One Printers,connectivity_technology
,1375444031,Maximum Media Size,All-In-One Printers,media_size_maximum
,1375444031,Output Type,All-In-One Printers,printer_output
,1375444031,Printing Speed,All-In-One Printers,max_printspeed_black_white
,1805559031,Camera Resolution,Basic Mobiles,effective_still_resolution
,1805559031,Cell Phone Type,Basic Mobiles,form_factor
,1805559031,Data Transfer,Basic Mobiles,connectivity_technology
,1805559031,Features,Basic Mobiles,special_features
,1805559031,Operating System,Basic Mobiles,operating_system
,1805559031,Operator,Basic Mobiles,wireless_provider
,1389366031,Wattage,Bookshelf Speakers,wattage
,1389367031,Wattage,Built-in Speakers,wattage
,1389198031,Max. Focal Length,Camcorder Lenses,max_focal_length
,1389198031,Min. Focal Length,Camcorder Lenses,min_focal_length
,1389198031,Mounting Type,Camcorder Lenses,mounting_type
,1389197031,Max. Focal Length,Camera Lenses,max_focal_length
,1389197031,Min. Focal Length,Camera Lenses,min_focal_length
,1389197031,Mounting Type,Camera Lenses,mounting_type
,1389199031,Max. Focal Length,Camera Lenses,max_focal_length
,1389199031,Min. Focal Length,Camera Lenses,min_focal_length
,1389199031,Mounting Type,Camera Lenses,mounting_type
,1389328031,Display Size,Car GPS,display_size
,1389328031,Features,Car GPS,data_service
,1389328031,Features,Car GPS,connectivity_technology
,1389328031,Features,Car GPS,display_type
,1389328031,Maps,Car GPS,map_type
,1389368031,Wattage,Centre Speakers,wattage
,1388964031,Capacity,Compact Flash Cards,memory_storage_capacity
,1389384031,Hard Disk Size,DVD Recorders,hard_disk_size
,1389175031,Display Size,Digital Cameras,display_size
,1389175031,Image Stabilization,Digital Cameras,image_stabilization
,1389175031,Optical Zoom,Digital Cameras,optical_zoom
,1389175031,Resolution,Digital Cameras,optical_sensor_resolution
,1389175031,Viewfinder Type,Digital Cameras,viewfinder_type
,1389176031,Display Size,Digital SLR Camera Bundles,display_size
,1389176031,Image Stabilization,Digital SLR Camera Bundles,image_stabilization
,1389176031,Optical Zoom,Digital SLR Camera Bundles,optical_zoom
,1389176031,Resolution,Digital SLR Camera Bundles,optical_sensor_resolution
,1389176031,Viewfinder Type,Digital SLR Camera Bundles,viewfinder_type
,1389177031,Display Size,Digital SLR Cameras,display_size
,1389177031,Image Stabilization,Digital SLR Cameras,image_stabilization
,1389177031,Optical Zoom,Digital SLR Cameras,optical_zoom
,1389177031,Resolution,Digital SLR Cameras,optical_sensor_resolution
,1389177031,Viewfinder Type,Digital SLR Cameras,viewfinder_type
,1388874031,Battery Cell Composition,Disposable Batteries,battery_cell_composition
,1375395031,Capacity,External Hard Drives,hard_disk_size
,1375395031,Format,External Hard Drives,form_factor
,1389369031,Wattage,Floorstanding Speakers,wattage
,1388871031,Battery Cell Composition,General Purpose Batteries & Battery Chargers,battery_cell_composition
,1388872031,Battery Cell Composition,General Purpose Battery & Charger Sets,battery_cell_composition
,1388873031,Battery Cell Composition,General Purpose Battery Chargers,battery_cell_composition
,1388876031,Battery Cell Composition,General Purpose Battery Spacers,battery_cell_composition
,1388877031,Battery Cell Composition,General Purpose Battery Testers,battery_cell_composition
,1389365031,Wattage,Hi-Fi & Home Audio Speakers,wattage
,1389350031,Wattage,Hi-Fi Amplifiers,wattage
,1389338031,Wattage,Hi-Fi Compact Stereo Systems,wattage
,1389361031,Wattage,Hi-Fi Receivers,wattage
,1389387031,Hard Disk Size,Home Cinema Systems,hard_disk_size
,1389351031,Wattage,Hybrid Amplifiers,wattage
,1375367031,Capacity,IDE Hard Drives,hard_disk_size
,1375445031,Connectivity,Ink All-In-One Printers,connectivity_technology
,1375445031,Maximum Media Size,Ink All-In-One Printers,media_size_maximum
,1375445031,Output Type,Ink All-In-One Printers,printer_output
,1375445031,Printing Speed,Ink All-In-One Printers,max_printspeed_black_white
,1375323031,Cartridge Type,Ink Cartridges,compatibility_options
,1375447031,Connectivity,Ink Printers,connectivity_technology
,1375447031,Maximum Media Size,Ink Printers,media_size_maximum
